회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
조베이스(주),[솔루션] 백엔드 경력 개발자 모집(python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394729&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 강남구,경력 3~15년,대졸↑,정규직,~ 12/13(금),"Python, C++, Java, 솔루션, 백엔드/서버개발 외                    등록일 24/11/13",급성장중
화랑,Vision/MFC/C# Python Tensorflow CUDA yolo v8 개발직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49360095&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,충남 천안시 동남구,경력무관,초대졸↑,정규직,~ 01/07(화),"Python, C++, 솔루션, DBMS, S/W 외                    등록일 24/11/08",점심지원
블록스퀘어서울,Python 백엔드 경력자(바이낸스 거래소 오토봇 개발 경험자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49159941&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 송파구,경력,학력무관,정규직,~ 12/07(토),"Python, 백엔드/서버개발, Django, MongoDB, MySQL 외                    수정일 24/11/08",
주식회사비전코어,파이썬(Python) 및 앱(ios/안드로이드) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396874&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,대구 동구,경력3년↑,대졸↑,정규직,~ 12/17(화),"Python, 솔루션, 정보보안, 정보통신, iOS 외                    수정일 24/11/21",
코리아써치,AI 솔루션 백엔드(Python) 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49409187&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 송파구,경력5년↑,초대졸↑,정규직,~ 12/15(일),"Python, 딥러닝, 솔루션, 머신러닝, AI(인공지능) 외                    등록일 24/11/15",
자이언트솔루션,"OO전자 LLM 서비스 개발/운영 - C#.NET, Python, Java",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443970&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 금천구,경력 9~13년,대졸↑,계약직·프리랜서,채용시,"Python, C++, Java, 웹개발, .NET 외                    등록일 24/11/21",
(주)뮤즈라이브,Back-End Engineer (Python/Django),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49329753&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 마포구,경력 2~5년,학력무관,정규직,~ 12/05(목),"Python, AWS, 웹개발, 백엔드/서버개발, 인프라 외                    등록일 24/11/04",취업축하금
한단제어기술,"PC 제어프로그래머 (C, C++, C#, Python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49335326&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,경기 안양시 동안구,경력무관,대졸↑,정규직,~ 12/05(목),"Python, C++, SE(시스템엔지니어), 라즈베리파이, 로봇엔지니어 외                    등록일 24/11/05",
(주)미니레코드,(주식회사 미니레코드) Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49399149&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 송파구,경력 1~10년,학력무관,정규직·계약직,상시채용,"Python, 딥러닝, 머신러닝, AWS, 유지보수 외                    등록일 24/11/14",급성장중
(주)데이터트리,[경력AI 개발] Full stack 개발자/React/Python,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458928&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 금천구,경력5년↑,대졸↑,정규직,~ 12/24(화),"Python, Java, 솔루션, 머신러닝, 웹개발 외                    등록일 24/11/24",유연근무제
에이치알포유(주),[IT 솔루션 및 통합서비스 전문기업] 파이썬(Python) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49457115&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 강남구,경력 5~20년,초대졸↑,정규직,~ 11/29(금),"Python, Java, 솔루션, AWS, 데이터엔지니어 외                    등록일 24/11/23",마감임박
사이테크놀로지스(주),C와 Python 개발을 담당할 분을 구합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49332788&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,대전 대덕구,경력무관,대졸↑,정규직,~ 12/04(수),"Python, 개발PM, 임베디드, 하드웨어 등록일 24/11/04",급성장중
(주)버블콘,(주)버블콘 백엔드 개발 PL/PM (Python) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328472&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 구로구,경력 7~13년,학력무관,정규직,~ 11/29(금),"Python, 솔루션업체 수정일 24/11/05",워라밸
스퀘어네트(주),Python 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49371816&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 강남구,경력 9~12년,초대졸↑,정규직,~ 12/12(목),"Java, 솔루션, 웹개발, S/W, Spring 외                    등록일 24/11/11",취업축하금
(사)한국아이씨티기술협회,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333137&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울전체,경력무관,학력무관,교육생,~ 11/30(토),"Python, Java, 솔루션, AWS, 웹개발 외                    수정일 24/11/25",연봉상승률 30% 이상
(주)뉴로다임,파이썬 프로그램 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319913&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 성동구,신입·경력,초대졸↑,정규직,~ 12/03(화),"Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    등록일 24/11/01",취업축하금
(주)아이이에이,m대기업 서비스 스벨트/파이썬 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471813&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=f1fd4232-c69b-45a6-906d-73dda6177c2e,서울 강서구,경력,학력무관,계약직·프리랜서,~ 12/26(목),"Python, 웹개발, 백엔드/서버개발, SI개발, Svelte 외                    등록일 24/11/26",급성장중
(주)아이티맨,[파이썬 및 웹 개발] 경력직 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49352670&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,전남 나주시,경력 3~5년,대졸↑,정규직,~ 12/07(토),"Python, C++, Linux, 솔루션, 웹개발 외                    등록일 24/11/07",
(주)알로카도스,시니어 파이썬 백엔드 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432001&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,경력 5~15년,학력무관,정규직,~ 12/18(수),"Python, AWS, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/11/19",취업축하금
(주)아이젝스,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49309084&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 금천구,경력2년↑,초대졸↑,정규직,~ 11/30(토),"Python, MacOS, 네트워크, 솔루션업체, 소프트웨어개발 수정일 24/11/25",연봉상승률 10% 이상
링크루트,[유망 스타트업] [경력] 백엔드 개발자 채용 (파이썬),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49236283&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 관악구,경력 5~10년,대졸↑,정규직·기간제,채용시,"Python, AWS, 백엔드/서버개발, 프론트엔드, Django 외                    등록일 24/10/21",재택근무
(주)에이스파트너스서치펌,풀스텍 파이썬 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49397155&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 종로구,경력 5~10년,대졸↑,정규직,내일마감,"Linux, AWS, 풀스택, 클라우드, API 외                    수정일 24/11/15",
(주)세종교육,파이썬 개발자 과정 강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49375647&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 성남시,신입·경력,고졸↑,정규직·계약직,~ 12/10(화),"보조강사, 파트강사, 학원강사, 학원보조, IT강사 외                    수정일 24/11/11",취업축하금
(주)윤성진실전코딩학원,어린이 파이썬/C언어/JAVA 코딩강사 채용(평일반),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49161844&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 광주시,경력무관,초대졸↑,정규직·파트,~ 12/08(일),"학원강사, IT강사, 컴퓨터교육, 보습학원, 코딩 외                    수정일 24/10/19",
(주)윤성진실전코딩학원,어린이 파이썬/C언어/JAVA 코딩강사 채용(주말반),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49161818&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 광주시,경력무관,초대졸↑,파트·프리랜서,~ 12/08(일),"학원강사, IT강사, 컴퓨터교육, 보습학원, 코딩 외                    수정일 24/10/12",
(주)코딩플러스,(코딩 강사) 파이썬/C언어/JAVA 등 코딩 강사 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49311497&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 양천구,경력무관,초대졸↑,정규직·파트,~ 11/30(토),"학원강사, IT강사, 보습학원, 코딩, IT학원 등록일 24/10/31",
더조은컴퓨터아카데미종로,"[NCS 훈련교사] 빅데이터(파이썬)엘러스틱서치,자바웹 전문강사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408730&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 종로구,경력무관,학력무관,기간제·계약직,~ 12/15(일),"직업훈련, 컴퓨터교육, 훈련교사, IT학원 등록일 24/11/15",
(주)효림엑스이,효림그룹 2024 하반기 신입 및 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49424169&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 서초구,신입·경력,초대졸↑,정규직,~ 12/01(일),"Python, C++, Java, Linux, 앱개발 외                    수정일 24/11/19",건설·건축 스크랩 TOP100
(주)풀무원,풀무원 각 부문 경력•신입 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376084&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,초대졸↑,정규직·계약직,~ 12/01(일),"Python, Java, 솔루션, 웹개발, 알고리즘 외                    수정일 24/11/25",건설·건축 지원 TOP100
(주)우진플라임,㈜우진플라임 부문별 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381850&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,충북 보은군,신입·경력,학력무관,정규직,~ 12/11(수),"Python, C++, Java, 웹개발, 게임개발 외                    수정일 24/11/22",마케팅·홍보·조사 지원 TOP100
(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48464887&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강서구,신입·경력,학력무관,정규직·병역특례,~ 12/31(화),"Python, C++, Java, Linux, 솔루션 외                    수정일 24/11/20",마케팅·홍보·조사 지원 TOP100
(주)그린카,2024 그린카 경력/신입 상시 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49398937&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,초대졸↑,정규직·계약직,내일마감,"Python, Java, 딥러닝, 머신러닝, 웹개발 외                    수정일 24/11/27",운전·운송·배송 지원 TOP100
대덕전자(주),[대덕전자] 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469892&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 안산시 단원구,경력무관,초대졸↑,정규직,~ 12/08(일),"Python, Java, 머신러닝, AI(인공지능), 기술영업 외                    등록일 24/11/26",생산 지원 TOP100
(주)화승코퍼레이션,2024년 하반기 부문별 수시 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49447672&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,부산 연제구,신입·경력,대졸↑,정규직,~ 12/08(일),"Python, Java, 솔루션, 기술지원, 데이터분석가 외                    수정일 24/11/22",영업·판매·무역 지원 TOP100
(주)아이센스,㈜아이센스 2024년 신입/경력 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475890&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 서초구,신입·경력,대졸↑,정규직,~ 12/15(일),"Python, Java, 유지보수, 데이터라벨링, ERP 외                    수정일 24/11/27",인기있는
(주)디알텍,2024년 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49340270&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,경기 성남시 분당구,신입·경력,고졸↑,정규직,~ 11/30(토),"C++, Linux, 머신러닝, 유지보수, 퍼블리셔 외                    수정일 24/11/05",운전·운송·배송 지원 TOP100
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49298655&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,신입·경력,학력무관,정규직,~ 12/03(화),"Python, Java, Linux, AWS, 웹개발 외                    수정일 24/10/31",상품기획·MD 지원 TOP100
(주)더캐리,2024년 (주)더캐리 IT인력(정보혁신부) 전 부문 공개채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465265&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=b168027c-ea2f-454b-a182-0c48f7061f7e,서울 강남구,경력무관,대졸↑,정규직,~ 12/31(화),"Python, Java, 솔루션, 웹개발, 데이터분석가 외                    등록일 24/11/25",IT개발·데이터 지원 TOP100
